hhid,clustnum,children16,pensioners,f_pensioners,members,maxeduc,meaneduc,percapita_exp,hh_exp,cm_16_exp
196015,196,2,0,0,5,7,3.6,6.550335219,8.159773131,6.547189609
196016,196,8,1,1,17,10,3.705882353,6.236170733,9.069384077,6.329313883
196017,196,2,1,1,11,10,6.545454545,6.262215201,8.660110474,6.423694489
197001,197,5,0,0,12,10,4.583333333,6.34783267,8.83273932,6.426005536
197002,197,3,0,0,5,10,3.4,6.237096747,7.84653466,6.161912701
197003,197,0,1,1,1,4,4,7.485027767,7.485027767,7.485027767
197004,197,3,0,0,8,14,7,6.996095125,9.075536667,7.049374048
197005,197,4,0,0,11,10,5.545454545,6.334428224,8.732323497,6.423869075
197006,197,4,1,1,8,8,2.75,6.088163296,8.167604838,6.095278254
197007,197,3,0,0,8,10,5.125,6.203015182,8.282456723,6.256294104
197008,197,1,0,0,4,8,5.25,6.327334716,7.713629077,6.35995942
197009,197,4,0,0,9,9,4.333333333,6.489225265,8.686449843,6.528344097
197010,197,4,1,1,11,10,5.818181818,5.727953168,8.125848441,5.817394019
197011,197,1,0,0,5,9,4.8,6.969459281,8.578897194,7.044623911
197012,197,0,0,0,5,10,2.8,6.289545512,7.898983425,6.450489304
197013,197,2,0,0,4,5,1.75,6.287350024,7.673644385,6.225150264
197014,197,0,2,1,6,10,6.833333333,6.865286359,8.657045828,7.044462306
197015,197,8,2,1,13,12,4.153846154,6.125924552,8.69087391,6.1409819
197016,197,5,0,0,7,10,4,7.02829612,8.974206269,6.94804365
197017,197,4,0,0,6,8,3.166666667,6.760769285,8.552528754,6.681031367
198001,198,2,0,0,7,9,4.428571429,6.400851593,8.346761742,6.475264354
198002,198,5,1,1,13,6,2.846153846,5.221902074,7.786851431,5.32009541
198003,198,2,0,0,5,8,5.4,6.671716996,8.281154909,6.668571387
198004,198,4,0,0,7,6,2.571428571,6.416342332,8.362252481,6.384750362
198005,198,2,0,0,4,8,4.75,7.160193291,8.546487652,7.097993531
198006,198,3,0,0,7,10,4,6.149598106,8.095508255,6.169448708
198007,198,4,0,0,7,9,3.571428571,6.338129967,8.284040116,6.306537997
198008,198,0,0,0,4,9,3.75,6.672396724,8.058691085,6.81102616
198009,198,3,1,0,9,6,4,6.059860914,8.257085491,6.14084776
198010,198,2,0,0,8,9,5.125,6.321224742,8.400666283,6.423164164
198011,198,3,0,0,6,4,1.5,6.211245731,8.003005201,6.189592482
198012,198,3,0,0,6,7,3.666666667,6.729547391,8.521306861,6.707894142
198013,198,0,1,1,1,7,7,7.925062831,7.925062831,7.925062831
198014,198,3,0,0,7,8,4.714285714,5.990816187,7.936726336,6.010666788
198015,198,1,1,1,10,10,6.7,6.645631394,8.948216487,6.831978755
198016,198,1,0,0,4,9,5.75,5.760532763,7.146827124,5.793157467
198017,198,0,0,0,4,10,8.5,6.94196911,8.328263472,7.080598547
198018,198,1,0,0,8,11,7.375,6.646240321,8.725681862,6.799622315
198019,198,3,0,0,5,10,5.4,6.968869295,8.578307208,6.893685249
198020,198,2,2,1,6,10,4.166666667,6.480142684,8.271902153,6.520583019
198021,198,5,1,1,11,10,2.727272727,6.20344089,8.601336163,6.258915446
199001,199,0,0,0,1,2,2,7.879286786,7.879286786,7.879286786
199002,199,0,0,0,1,1,1,7.896229566,7.896229566,7.896229566
199003,199,0,0,0,2,10,9,7.444936067,8.138083248,7.514250785
199004,199,2,0,0,4,7,3,6.528923572,7.915217933,6.466723812
199005,199,0,0,0,1,0,0,7.288542011,7.288542011,7.288542011
199006,199,0,0,0,1,0,0,7.609118586,7.609118586,7.609118586
199007,199,0,0,0,2,8,5.5,6.947958831,7.641106012,7.017273549
199008,199,0,0,0,1,4,4,7.524959526,7.524959526,7.524959526
199009,199,0,0,0,1,1,1,7.344320663,7.344320663,7.344320663
199010,199,0,0,0,1,3,3,7.555558448,7.555558448,7.555558448
199011,199,0,0,0,1,5,5,7.578941916,7.578941916,7.578941916
199012,199,0,0,0,1,4,4,7.450203728,7.450203728,7.450203728
199013,199,0,0,0,1,6,6,7.806333349,7.806333349,7.806333349
199014,199,0,0,0,1,8,8,7.588504246,7.588504246,7.588504246
199015,199,0,0,0,1,8,8,7.807837095,7.807837095,7.807837095
199016,199,0,0,0,1,5,5,7.657727685,7.657727685,7.657727685
199017,199,0,0,0,1,5,5,7.73831023,7.73831023,7.73831023
199018,199,0,0,0,1,0,0,7.343017643,7.343017643,7.343017643
199019,199,0,0,0,1,4,4,7.750902799,7.750902799,7.750902799
199020,199,0,0,0,1,2,2,7.837506793,7.837506793,7.837506793
199021,199,0,0,0,1,2,2,7.809365694,7.809365694,7.809365694
199022,199,0,0,0,2,7,6,7.046891641,7.740038822,7.116206359
199023,199,0,0,0,1,3,3,7.819620483,7.819620483,7.819620483
199024,199,0,0,0,1,0,0,7.607479848,7.607479848,7.607479848
199025,199,0,0,0,1,4,4,7.732636604,7.732636604,7.732636604
199026,199,0,0,0,1,5,5,7.564445265,7.564445265,7.564445265
199027,199,0,0,0,1,2,2,7.769191712,7.769191712,7.769191712
199028,199,0,0,0,1,9,9,8.096176626,8.096176626,8.096176626
199029,199,0,0,0,1,0,0,8.070125189,8.070125189,8.070125189
199030,199,0,0,0,1,5,5,7.905055453,7.905055453,7.905055453
199031,199,0,0,0,1,3,3,7.917973127,7.917973127,7.917973127
199032,199,0,0,0,1,3,3,7.578511298,7.578511298,7.578511298
199033,199,0,0,0,1,4,4,7.587289173,7.587289173,7.587289173
199034,199,0,0,0,1,6,6,7.420592017,7.420592017,7.420592017
199035,199,0,0,0,1,2,2,7.801851297,7.801851297,7.801851297
199036,199,0,0,0,1,5,5,8.112833806,8.112833806,8.112833806
199037,199,0,0,0,1,4,4,7.533170958,7.533170958,7.533170958
199038,199,3,0,0,5,10,4.4,7.008216424,8.617654336,6.933032377
199039,199,6,1,1,15,10,5.266666667,6.200996367,8.909046568,6.307711986
199040,199,1,0,0,4,10,3.75,6.228846161,7.615140522,6.261470865
199041,199,4,0,0,7,8,3.428571429,6.360923225,8.306833374,6.329331255
199042,199,3,0,0,6,7,4.166666667,6.683346939,8.475106408,6.661693689
199043,199,1,0,0,3,4,2.666666667,6.678789334,7.777401622,6.649914951
199044,199,3,0,0,5,9,4.6,6.567697905,8.177135818,6.492513859
199045,199,0,0,0,1,2,2,7.638494106,7.638494106,7.638494106
200001,200,1,0,0,8,9,6.125,6.416000925,8.495442467,6.56938292
200002,200,5,0,0,8,10,3.375,6.955233887,9.034675429,6.918437698
200003,200,6,0,0,9,7,3,5.838837883,8.03606246,5.799646476
200004,200,1,0,0,3,6,3.666666667,7.042782551,8.14139484,7.013908168
200005,200,2,1,1,8,8,2.625,6.299393818,8.378835359,6.40133324
200006,200,4,0,0,6,6,2,6.459991058,8.251750527,6.380253139
200007,200,2,0,0,4,1,0.75,6.207648859,7.59394322,6.145449099
200008,200,3,1,1,11,4,1.090909091,5.753430234,8.151325506,5.878169726
200009,200,2,0,0,4,9,4.5,6.426889907,7.813184268,6.364690147
200010,200,3,0,0,8,3,1.875,5.781097942,7.860539484,5.834376865
200011,200,3,1,1,11,10,6.090909091,5.790057679,8.187952952,5.914797172
200012,200,3,0,0,5,9,4.8,6.257711744,7.867149657,6.182527698
200013,200,5,0,0,7,8,2.857142857,6.345534197,8.291444346,6.265281727
200014,200,2,0,0,4,8,3.5,6.413195373,7.799489734,6.350995613
201001,201,1,0,0,3,5,2.666666667,6.680526849,7.779139138,6.651652466
201002,201,5,0,0,11,10,3.727272727,5.792573843,8.190469116,5.848048399
201003,201,6,0,0,14,8,3.142857143,5.814420723,8.453478052,5.903586043
201004,201,6,0,0,11,7,2.272727273,5.555466016,7.953361289,5.578209692
201005,201,5,0,0,10,8,2.5,6.536635206,8.839220299,6.566064519
201006,201,5,1,1,13,4,0.307692308,5.366500697,7.931450054,5.464694033
201007,201,7,0,0,12,9,2.5,5.806125831,8.291032481,5.824276459
201008,201,1,0,0,10,9,5.1,5.567381558,7.869966651,5.753728919
201009,201,8,0,0,17,4,1.176470588,5.464711859,8.297925203,5.557855009
201010,201,4,0,0,8,8,3.75,5.993374285,8.072815827,6.000489243
201011,201,5,1,1,11,10,4.545454545,5.205012146,7.602907418,5.260486702
201012,201,1,1,1,4,4,1.25,5.905315483,7.291609844,5.937940187
201013,201,1,0,0,4,6,3.25,5.005692874,6.391987235,5.038317578
201014,201,1,1,1,4,10,3.5,6.606234435,7.992528797,6.638859139
201015,201,1,0,0,4,6,4.25,5.879910059,7.26620442,5.912534763
201016,201,6,1,1,13,4,1,5.658823405,8.223772763,5.728442913
201017,201,2,1,0,8,4,2.25,5.465546006,7.544987547,5.567485428
201018,201,2,1,0,8,11,5.875,6.53751927,8.616960812,6.639458692
201019,201,0,2,1,7,10,7.428571429,6.646408291,8.59231844,6.840999306
201020,201,3,0,0,8,6,3.25,6.035801287,8.115242829,6.08908021
202001,202,0,0,0,2,2,1,7.022925767,7.716072948,7.092240485
202002,202,1,0,0,3,5,3,6.513543838,7.612156127,6.484669455
202003,202,3,1,1,6,9,3,6.134372813,7.926132282,6.112719564
202004,202,0,0,0,1,0,0,7.266876081,7.266876081,7.266876081
202005,202,1,0,0,2,5,5,5.937650234,6.630797415,5.806135756
202006,202,0,0,0,3,10,10,7.008637176,8.107249465,7.118498405
202007,202,0,0,0,4,10,7,6.393458708,7.779753069,6.532088144
202008,202,2,0,0,5,9,5.8,6.18133823,7.790776143,6.17819262
202009,202,0,0,0,5,9,7.6,6.252833404,7.862271316,6.413777195
202010,202,1,0,0,3,1,1,6.495905077,7.594517366,6.467030694
202011,202,0,0,0,2,10,8,6.337709571,7.030856752,6.407024289
202012,202,5,0,0,11,10,3.818181818,5.487723502,7.885618775,5.543198058
202013,202,1,0,0,3,10,6.333333333,6.431613055,7.530225344,6.402738672
202014,202,2,0,0,5,2,0.6,5.877943062,7.487380974,5.874797452
202015,202,1,0,0,3,10,6,6.751887671,7.850499959,6.723013288
202016,202,0,0,0,2,4,2.5,6.388287836,7.081435017,6.457602554
202017,202,0,0,0,2,10,8,6.720596911,7.413744092,6.789911629
203001,203,0,2,2,3,5,3,6.253059915,7.351672203,6.362921144
203002,203,1,0,0,9,10,6,5.364774629,7.561999207,5.535836588
203003,203,2,0,0,6,9,2.5,6.350736368,8.142495838,6.391176703
203004,203,3,0,0,7,8,3.428571429,6.65828463,8.604194779,6.678135232
203005,203,4,2,1,11,11,7.272727273,6.257295914,8.655191187,6.346736765
203006,203,1,0,0,7,11,7.571428571,6.027339397,7.973249546,6.159836828
203007,203,4,0,0,8,10,5.125,6.11858623,8.198027772,6.125701188
203008,203,4,1,1,7,11,6.285714286,6.951947267,8.897857416,6.920355296
203009,203,1,1,1,5,8,4,6.257898249,7.867336161,6.333062878
203010,203,1,0,0,3,6,5,7.596026954,8.694639243,7.567152571
203011,203,1,1,0,8,9,6.875,7.013693952,9.093135493,7.167075946
203012,203,1,1,1,3,11,8,7.709935238,8.808547527,7.681060855
204001,204,8,1,1,12,9,2.583333333,5.329410673,7.814317322,5.318987472
204002,204,2,0,0,4,5,3.5,5.275507865,6.661802226,5.213308105
204003,204,3,2,1,8,9,2.875,5.471020289,7.55046183,5.524299212
204004,204,1,0,0,7,10,3,6.096493149,8.042403298,6.22899058
204005,204,4,0,0,8,5,1.5,5.540556472,7.619998014,5.54767143
204006,204,1,0,0,10,9,4.7,5.942189967,8.24477506,6.128537328
204007,204,4,0,0,10,9,4,6.240025045,8.542610138,6.306194153
204008,204,7,0,0,11,10,3.090909091,6.081683561,8.479578834,6.07284505
204009,204,0,1,1,3,2,0.666666667,6.892463029,7.991075317,7.002324258
204010,204,5,1,1,14,8,4.5,5.965905332,8.604962661,6.081938319
204011,204,2,1,1,4,6,1.5,6.871031172,8.257325533,6.808831412
204012,204,1,2,1,7,14,10,7.482686606,9.428596755,7.615184037
204013,204,7,0,0,10,5,1.3,6.248398125,8.550983218,6.208562501
205001,205,2,1,1,8,9,5.625,6.056131489,8.135573031,6.158070911
205002,205,0,1,1,6,8,5.833333333,5.846572123,7.638331592,6.02574807
205003,205,3,0,0,8,3,1.5,6.608081415,8.687522957,6.661360338
205004,205,0,0,0,2,7,6.5,7.455984625,8.149131806,7.525299343
205005,205,6,1,1,13,8,2.307692308,5.729240638,8.294189995,5.798860145
205006,205,1,2,1,8,7,3.375,6.434000387,8.513441929,6.587382382
205007,205,5,0,0,7,8,3.571428571,6.419190547,8.365100696,6.338938077
205008,205,5,0,0,11,7,4.727272727,6.115797072,8.513692345,6.171271628
205009,205,2,2,1,7,10,4.428571429,6.227089428,8.172999578,6.30150219
205010,205,2,1,1,5,7,2,6.598554002,8.207991915,6.595408392
205011,205,6,0,0,14,8,2.214285714,6.101727713,8.740785043,6.190893033
205012,205,3,0,0,7,7,3.142857143,5.634250413,7.580160562,5.654101015
205013,205,5,1,1,11,9,3.636363636,6.237905608,8.635800881,6.293380164
205014,205,2,0,0,7,8,5.571428571,5.456246877,7.402157026,5.530659639
205015,205,6,1,1,12,10,2.083333333,5.430780126,7.915686776,5.478441595
205016,205,0,0,0,5,10,6.8,6.439366428,8.048804341,6.60031022
205017,205,1,1,1,10,5,1.6,5.397283791,7.699868884,5.583631153
205018,205,10,0,0,18,8,2.5,5.715579871,8.605951629,5.784006835
205019,205,0,0,0,2,7,6.5,6.848317218,7.541464398,6.917631936
205020,205,6,2,2,19,7,2.947368421,5.345010878,8.289449857,5.507511649
205021,205,0,0,0,8,9,5.875,5.894910762,7.974352304,6.102854916
205022,205,1,0,0,3,14,9.666666667,7.551774596,8.650386884,7.522900213
206001,206,0,1,1,6,10,7.166666667,5.992916393,7.784675862,6.17209234
206002,206,3,0,0,9,10,7.222222222,5.88957489,8.086799468,5.970561736
206003,206,2,0,0,6,6,2,5.899921231,7.6916807,5.940361566
206004,206,4,1,1,12,11,6.333333333,5.643135803,8.128042453,5.752890856
206005,206,0,2,1,2,5,2.5,6.66886331,7.36201049,6.738178028
206006,206,1,1,1,5,8,4.8,6.392133356,8.001571268,6.467297985
206007,206,2,2,1,6,10,4.666666667,6.451737198,8.243496667,6.492177533
206008,206,0,2,1,5,7,3.4,5.719266944,7.328704856,5.880210735
206009,206,6,0,0,14,10,4.214285714,5.38801498,8.02707231,5.4771803
206010,206,2,0,0,8,10,5.75,6.021072908,8.10051445,6.12301233
206011,206,1,0,0,5,8,5.2,5.629352191,7.238790103,5.70451682
206012,206,3,1,1,7,8,4.142857143,6.315585435,8.261495584,6.335436037
206013,206,1,0,0,4,7,5.25,6.94701985,8.333314211,6.979644554
206014,206,1,0,0,6,8,5.5,5.590298615,7.382058084,5.697436125
206015,206,3,0,0,6,8,4.833333333,6.562306249,8.354065718,6.540652999
206016,206,2,0,0,7,11,5.857142857,6.617910124,8.563820273,6.692322885
206017,206,2,0,0,10,10,6.3,6.044265316,8.346850409,6.188744663
206018,206,2,0,0,7,7,4.285714286,5.891674957,7.837585106,5.966087718
206019,206,8,0,0,15,11,4.066666667,6.354053807,9.062104008,6.412108926
206020,206,1,1,0,5,7,3.8,5.498833327,7.108271239,5.573997956
207001,207,3,1,1,10,10,5.2,6.810026597,9.11261169,6.914499358
207002,207,2,0,0,8,10,6.5,6.864669871,8.944111413,6.966609293
207003,207,3,0,0,7,10,4.142857143,6.639671302,8.585581451,6.659521904
207004,207,4,1,1,8,7,3.125,6.29676408,8.376205622,6.303879038
207005,207,2,0,0,4,10,5.5,6.967006899,8.35330126,6.904807139
207006,207,2,0,0,5,9,3.4,6.27711814,7.886556053,6.273972531
207007,207,5,0,0,9,10,4,5.842947311,8.040171888,5.842059556
207008,207,1,0,0,7,7,4.428571429,6.693568339,8.639478488,6.82606577
207009,207,7,0,0,10,9,3.2,5.950638478,8.253223571,5.910802854
207010,207,3,0,0,8,10,4.25,7.111644649,9.191086191,7.164923572
207011,207,5,1,0,10,11,5,6.476632101,8.779217194,6.506061414
207012,207,1,0,0,4,10,6.25,6.972492125,8.358786486,7.005116829
208001,208,0,0,0,3,11,9.333333333,7.31713558,8.415747868,7.426996808
208002,208,0,0,0,5,9,5.8,6.812247677,8.42168559,6.973191469
208003,208,3,0,0,5,9,2.4,6.639128521,8.248566433,6.563944474
208004,208,5,1,1,14,10,4.857142857,6.045792732,8.684850062,6.161825719
208005,208,6,0,0,24,10,5.958333333,5.961777324,9.139831155,6.173577975
208006,208,2,0,0,4,8,3.25,7.301510354,8.687804716,7.239310594
208007,208,3,0,0,13,10,6.076923077,6.353046636,8.917995994,6.511262209
208008,208,2,0,0,7,11,5.428571429,6.609452799,8.555362948,6.683865561
208009,208,5,0,0,12,10,4.5,5.820722775,8.305629424,5.89889564
208010,208,0,0,0,2,10,5.5,6.541878495,7.235025675,6.611193213
208011,208,3,0,0,7,8,4.571428571,6.625968309,8.571878458,6.645818911
208012,208,0,0,0,4,8,6.5,6.343615819,7.72991018,6.482245255
208013,208,5,0,0,8,5,1.375,5.832441844,7.911883386,5.795645654
209001,209,3,0,0,5,6,1.8,7.180220594,8.789658506,7.105036547
209002,209,3,1,0,7,7,3.857142857,6.508251212,8.454161361,6.528101814
209003,209,1,0,0,2,8,4.5,7.300164007,7.993311188,7.168649529
209004,209,3,1,0,8,5,2.375,6.246551704,8.325993246,6.299830627
209005,209,4,0,0,9,3,1.555555556,5.752330238,7.949554816,5.79144907
209006,209,4,0,0,6,6,1.666666667,6.539419523,8.331178992,6.459681604
209007,209,2,1,1,6,6,2.666666667,5.50224016,7.293999629,5.542680495
209008,209,4,0,0,5,5,1.6,5.745723566,7.355161479,5.603842345
209009,209,3,1,1,6,10,4.833333333,6.528062268,8.319821737,6.506409019
209010,209,3,1,1,5,4,0.8,5.823482332,7.432920245,5.748298286
209011,209,7,1,1,13,6,1.923076923,5.709744245,8.274693603,5.75166926
209012,209,4,0,0,10,9,3.6,5.816329099,8.118914192,5.882498207
209013,209,0,0,0,2,7,5.5,6.567891668,7.261038849,6.637206386
209014,209,6,0,0,9,10,3.777777778,6.436128296,8.633352873,6.396936889
209015,209,4,0,0,6,5,2.833333333,6.436544961,8.22830443,6.356807043
209016,209,1,1,0,5,3,0.8,5.398030426,7.007468338,5.473195055
209017,209,2,2,1,7,7,3.714285714,5.706039353,7.651949502,5.780452114
209018,209,5,1,1,10,9,2.9,5.735831437,8.03841653,5.76526075
209019,209,4,0,0,8,5,1.625,6.421935703,8.501377245,6.429050661
209020,209,4,1,1,9,7,2.555555556,5.352883878,7.550108456,5.39200271
209021,209,4,0,0,7,6,2.285714286,6.538553573,8.484463722,6.506961603
209022,209,3,0,0,5,2,0.8,5.525619777,7.135057689,5.45043573
209023,209,3,2,1,9,1,0.222222222,5.882849375,8.080073953,5.963836221
209024,209,7,1,1,14,9,4,5.523182845,8.162240174,5.586259381
209025,209,2,0,0,5,6,2.2,5.94743562,7.556873532,5.94429001
210001,210,8,1,1,15,9,3.333333333,5.778628014,8.486678215,5.836683134
210002,210,4,0,0,5,5,2.2,6.32653864,7.935976553,6.184657419
210003,210,6,0,0,12,8,2.416666667,5.308594667,7.793501317,5.356256136
210004,210,0,0,0,2,1,0.5,6.715930626,7.409077807,6.785245344
210005,210,4,1,1,7,2,0.857142857,5.875568325,7.821478474,5.843976354
210006,210,2,0,0,4,6,1.75,5.611956267,6.998250628,5.549756507
210007,210,5,0,0,11,9,4.272727273,6.507017816,8.904913089,6.562492372
210008,210,3,1,1,10,8,2.8,5.838485085,8.141070178,5.942957847
210009,210,5,0,0,9,6,2.777777778,5.429470533,7.626695111,5.428582779
210010,210,0,0,0,2,5,3,6.622147846,7.315295027,6.691462564
210011,210,4,0,0,6,3,1,6.370707811,8.162467281,6.290969893
210012,210,0,0,0,3,8,4.666666667,6.06931665,7.167928938,6.179177879
210013,210,3,1,1,8,6,2.5,5.867021304,7.946462846,5.920300227
210014,210,4,1,0,11,8,1.727272727,5.173048295,7.570943568,5.262489146
210015,210,5,0,0,9,10,3,5.674768528,7.871993105,5.673880774
210016,210,3,1,1,5,6,2,6.590630017,8.20006793,6.51544597
210017,210,1,0,0,6,10,6.5,6.315420371,8.10717984,6.422557881
211005,211,2,1,1,7,8,3.714285714,5.954998806,7.900908955,6.029411568
211013,211,1,0,0,4,3,1.75,5.897839303,7.284133664,5.930464007
211028,211,1,0,0,5,9,5.4,6.599122485,8.208560397,6.674287114
211030,211,3,2,1,14,10,3.571428571,6.318100171,8.9571575,6.490401479
211033,211,3,1,1,7,8,2.142857143,4.918215098,6.864125247,4.9380657
211035,211,4,0,0,11,7,1.454545455,5.615326973,8.013222246,5.704767824
211037,211,1,0,0,3,0,0,6.575857942,7.674470231,6.546983559
211043,211,3,0,0,8,11,7.375,6.561242419,8.640683961,6.614521342
211050,211,4,0,0,6,11,4.5,6.476212056,8.267971525,6.396474137
211058,211,5,0,0,9,5,2.222222222,7.187077437,9.384302014,7.186189683
211065,211,2,0,0,5,9,4.6,6.457005543,8.066443456,6.453859933
211066,211,0,0,0,4,5,3.25,6.165804305,7.552098666,6.304433741
211073,211,1,0,0,6,11,8.333333333,6.316086859,8.107846329,6.423224369
211080,211,13,1,1,18,8,2,5.264825633,8.155197391,5.276391585
211088,211,4,0,0,6,7,3.166666667,6.763361378,8.555120847,6.683623459
211092,211,0,0,0,3,7,5.666666667,6.121393945,7.220006234,6.231255174
211095,211,4,0,0,11,10,5.454545455,6.287244758,8.685140031,6.376685609
211110,211,7,0,0,9,10,3.333333333,6.250618621,8.447843198,6.174687418
211118,211,6,0,0,10,9,4.1,6.085163842,8.387748935,6.079294513
211125,211,3,1,0,11,10,3.727272727,6.520190268,8.918085541,6.644929761
211133,211,7,1,1,16,9,3.8125,5.059592085,7.832180807,5.158807788
211140,211,5,0,0,9,10,4.444444444,6.497871191,8.695095768,6.496983436
211148,211,3,0,0,7,10,4,5.662901591,7.60881174,5.682752193
211155,211,1,0,0,8,10,7.75,7.00632038,9.085761922,7.159702375
211163,211,6,0,0,11,8,4.090909091,6.14967094,8.547566213,6.172414616
211178,211,3,0,0,9,9,3.222222222,6.446390803,8.643615381,6.527377649
211185,211,4,1,1,9,7,3.111111111,6.112130456,8.309355033,6.151249288
212001,212,3,0,0,7,10,4.142857143,6.281274968,8.227185117,6.30112557
